Germany	Karlsruhe	49.0068901	8.4036527	Europe/Berlin	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-karlsruhe-germany
Germany	Lübeck	53.8654673	10.6865593	Europe/Berlin	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-l-beck-germany
Germany	Muenster	51.9606649	7.6261347	Europe/Berlin	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-muenster-germany
Germany	Munich	48.1351253	11.5819806	Europe/Berlin	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2015-munich-germany-1
Germany	Nuremberg	49.45203	11.07675	Europe/Berlin	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-nuremberg-germany
Germany	Osnabrück	52.2799112	8.0471788	Europe/Berlin	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-osnabr-ck-germany
Germany	Solingen	51.17020720000001	7.0831408	Europe/Berlin	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-solingen-germany
Greece	Thessaloniki	40.6400629	22.9444191	Europe/Athens	3.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-thessaloniki-greece
HI	Honolulu	21.3069444	-157.8583333	Pacific/Honolulu	-10.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-honolulu-hi
Hungary	Budapest	47.497912	19.040235	Europe/Budapest	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-budapest-hungary
Hungary	Budapest	47.497912	19.040235	Europe/Budapest	2.0	http://coderetreat.org/events/epam-budapest-gdcr
India	Bangalore	12.9715987	77.5945627	Asia/Calcutta	5.5	http://coderetreat.org/events/global-day-of-coderetreat-2016-bangalore-india
India	Global Day of Code Retreat 2016 – Bangalore	12.9715987	77.5945627	Asia/Calcutta	5.5	http://coderetreat.org/events/global-day-of-code-retreat-2016-bangalore
India	Hyderabad	17.385044	78.486671	Asia/Calcutta	5.5	http://coderetreat.org/events/global-day-of-coderetreat-2016-hyderabad-india
India	Hyderabad	17.385044	78.486671	Asia/Calcutta	5.5	http://coderetreat.org/events/global-day-of-coderetreat-4
India	Mumbai	19.0759837	72.8776559	Asia/Calcutta	5.5	http://coderetreat.org/events/global-day-of-coderetreat-red-panda-mumbai
India	Pune	18.5204303	73.8567437	Asia/Calcutta	5.5	http://coderetreat.org/events/global-day-of-coderetreat-pune-2016
India	Pune	18.5204303	73.8567437	Asia/Calcutta	5.5	http://coderetreat.org/events/global-day-of-coderetreat-pune-red-panda
Italy	Milan	45.4654219	9.1859243	Europe/Rome	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-milan
Japan	Kyoto	35.0116363	135.7680294	Asia/Tokyo	9.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-kyoto-japan
Latvia	Riga	56.9496487	24.1051864	Europe/Riga	3.0	http://coderetreat.org/events/global-day-of-coderetreat-2016
Lithuania	Kaunas	54.8985207	23.9035965	Europe/Vilnius	3.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-kaunas
Lithuania	Vilnius	54.6871555	25.2796514	Europe/Vilnius	3.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-vilnius-lithuania
